Father_height,Mother_height,Child_height,gender
71.0,66.0,66.0,0
71.7,65.5,70.5,1
71.0,65.5,72.0,1
71.0,65.5,72.0,1
71.0,65.5,71.0,1
71.0,65.5,69.0,1
71.0,65.5,66.0,0
71.0,65.5,65.0,0
71.5,65.5,73.0,1
71.5,65.5,65.2,0
71.5,65.0,68.5,1
71.5,65.0,67.7,1
71.0,65.0,68.0,1
71.0,65.0,68.0,1
71.0,65.0,62.0,0
71.0,64.0,68.0,0
71.0,64.0,68.0,0
71.0,64.0,67.5,0
71.0,64.0,66.5,0
71.0,64.0,66.5,0
71.0,64.0,66.0,0
71.0,64.0,65.5,0
71.0,64.0,65.0,0
71.7,64.5,72.0,1
71.7,64.5,71.0,1
71.7,64.5,70.5,1
71.7,64.5,67.0,0
71.0,64.0,68.0,1
71.0,64.0,68.0,1
71.0,64.0,68.0,1
71.5,64.5,72.0,1
71.5,64.5,71.0,1
71.5,64.5,70.0,1
71.5,64.5,66.0,0
71.5,64.5,64.5,0
71.5,64.5,64.5,0
71.5,64.5,62.0,0
71.0,64.5,73.0,1
71.0,64.5,62.0,0
71.2,63.0,67.5,0
71.2,63.0,64.5,0
71.0,63.5,71.0,1
71.0,63.5,67.0,1
71.0,63.5,66.0,0
71.0,63.5,65.0,0
71.0,63.5,63.5,0
71.0,63.0,71.0,1
71.0,63.0,70.0,1
71.0,63.0,70.0,1
71.0,63.0,64.0,1
71.0,63.0,65.0,0
71.0,63.0,65.0,0
71.0,63.0,64.0,0
71.0,63.0,63.0,0
71.0,63.0,63.0,0
71.0,63.0,71.0,1
71.0,63.0,71.0,1
71.0,63.0,70.0,1
71.0,63.0,63.5,0
71.0,62.0,71.0,1
71.0,62.0,70.0,1
71.0,62.0,64.5,0
71.0,62.0,62.5,0
71.0,62.0,61.5,0
71.0,62.0,72.0,1
71.0,62.0,70.5,1
71.0,62.0,70.5,1
71.0,62.0,64.5,0
71.0,62.0,60.0,0
71.0,62.5,70.0,1
71.0,62.5,64.0,0
71.0,62.5,64.0,0
71.0,62.5,64.0,0
71.0,62.5,62.5,0
71.0,62.0,70.5,1
71.0,62.0,70.0,1
71.0,62.0,69.0,1
71.0,62.0,69.0,1
71.0,62.0,66.0,1
71.0,62.0,64.5,0
71.0,62.0,64.0,0
71.0,61.0,62.0,0
71.0,58.0,71.5,1
71.0,58.0,69.0,1
70.0,69.0,71.0,1
70.0,69.0,70.0,1
70.0,69.0,69.0,1
70.0,69.0,69.0,0
70.0,69.0,70.0,1
70.0,69.0,68.7,1
70.0,69.0,68.0,0
70.0,69.0,66.0,0
70.0,69.0,64.0,0
70.0,69.0,62.0,0
70.0,68.0,75.0,1
70.0,67.0,70.0,1
70.0,67.0,69.0,1
70.0,67.0,66.0,0
70.0,67.0,64.0,0
70.0,67.0,60.0,0
70.0,67.0,67.5,0
70.0,66.5,73.0,1
70.0,66.5,72.0,1
70.0,66.5,72.0,1
70.0,66.5,66.5,1
70.0,66.5,69.2,0
70.0,66.5,67.2,0
70.0,66.5,66.5,0
70.0,66.5,66.0,0
70.0,66.5,66.0,0
70.0,66.5,64.2,0
70.0,66.5,63.7,0
70.5,65.0,72.0,1
70.5,65.0,70.2,1
70.5,65.0,69.0,1
70.5,65.0,68.5,1
70.5,65.0,68.0,0
70.5,65.0,65.0,0
70.5,65.0,61.5,0
70.5,65.0,61.0,0
70.5,65.0,61.0,0
70.0,65.0,73.0,1
70.0,65.0,72.0,1
70.0,65.0,70.5,1
70.0,65.0,65.0,1
70.0,65.0,65.0,1
70.0,65.0,64.5,0
70.0,65.0,63.0,0
70.0,65.0,62.0,0
70.0,65.0,67.0,1
70.0,65.0,65.0,1
70.0,65.0,64.5,0
70.0,65.0,62.5,0
70.0,65.0,62.5,0
70.0,65.0,70.0,1
70.0,65.0,70.0,1
70.0,65.0,67.0,0
70.0,65.0,65.0,0
70.0,65.0,65.0,0
70.0,65.0,63.0,0
70.0,65.0,79.0,1
70.0,65.0,75.0,1
70.0,65.0,71.0,1
70.0,65.0,69.0,0
70.0,65.0,67.0,0
70.0,65.0,65.7,0
70.0,65.0,62.0,0
70.0,65.0,73.0,1
70.0,65.0,72.5,1
70.0,65.0,65.0,0
70.0,65.0,69.0,1
70.0,65.0,69.0,1
70.0,64.7,72.0,1
70.0,64.7,70.0,1
70.0,64.7,68.7,1
70.0,64.7,66.5,0
70.0,64.7,65.5,0
70.0,64.7,64.7,0
70.0,64.7,64.5,0
70.0,64.0,70.7,1
70.0,64.0,70.0,1
70.0,64.0,68.0,1
70.0,64.0,67.0,1
70.0,64.0,66.0,1
70.0,64.0,65.0,1
70.0,64.0,67.0,0
70.0,64.0,70.0,1
70.0,64.0,68.0,1
70.0,64.0,66.7,1
70.0,64.0,65.5,0
70.0,64.2,72.0,1
70.0,64.2,70.0,1
70.0,64.2,62.5,0
70.0,64.2,61.2,0
70.0,64.2,60.1,0
70.5,64.0,74.0,1
70.5,64.0,69.5,1
70.5,64.0,69.0,1
70.5,64.0,68.0,1
70.5,64.0,68.0,1
70.5,64.0,68.0,1
70.5,64.0,65.5,0
70.5,64.0,65.0,0
70.5,64.5,60.0,0
70.0,64.0,68.0,1
70.0,64.0,65.0,0
70.0,64.0,64.0,0
70.0,64.0,62.0,0
70.0,64.0,71.0,1
70.0,64.0,70.0,1
70.0,64.0,70.0,1
70.0,64.0,70.0,1
70.0,64.0,69.5,1
70.0,64.0,68.5,1
70.0,64.0,69.0,0
70.0,64.0,65.0,0
70.0,64.0,64.0,0
70.0,63.7,70.0,1
70.0,63.7,67.0,1
70.0,63.7,65.5,1
70.0,63.7,63.7,0
70.0,63.7,63.2,0
70.0,63.7,62.5,0
70.0,63.7,62.2,0
70.0,63.7,61.0,0
70.5,63.0,70.0,1
70.5,63.0,68.5,1
70.5,63.0,65.5,0
70.5,63.0,63.5,0
70.5,63.0,72.5,1
70.5,63.0,69.0,1
70.5,63.0,67.0,1
70.5,63.0,64.5,0
70.5,63.0,64.0,0
70.0,63.5,71.0,1
70.0,63.5,67.5,1
70.0,63.5,67.5,0
70.0,63.5,63.5,0
70.0,63.0,68.0,1
70.0,63.0,67.0,1
70.0,63.0,63.7,0
70.0,63.0,62.0,0
70.0,63.0,70.0,1
70.0,63.0,66.5,1
70.0,63.0,62.0,0
70.0,63.0,61.0,0
70.5,62.0,72.0,1
70.5,62.0,70.0,1
70.5,62.0,69.5,1
70.5,62.0,69.5,1
70.5,62.0,68.0,1
70.5,62.0,65.0,0
70.5,62.0,64.0,0
70.5,62.0,63.0,0
70.3,62.7,70.7,1
70.3,62.7,69.7,1
70.3,62.7,69.2,1
70.3,62.7,65.2,1
70.3,62.7,64.0,0
70.3,62.7,63.5,0
70.3,62.7,63.2,0
70.5,62.0,72.0,1
70.5,62.0,72.0,1
70.5,62.0,60.0,0
70.0,61.0,71.2,1
70.0,61.0,67.0,1
70.0,60.0,67.0,1
70.0,60.0,64.5,1
70.0,60.0,65.0,0
70.0,60.0,63.0,0
70.0,60.0,65.0,0
70.0,60.0,65.0,0
70.0,58.5,71.5,1
70.0,58.5,64.5,1
70.0,58.5,63.0,0
70.0,58.0,72.0,1
70.0,58.0,66.0,1
70.0,58.0,66.0,0
70.0,58.0,65.0,0
70.0,58.0,63.0,0
69.0,68.5,75.0,1
69.0,68.5,71.0,1
69.0,68.5,70.0,1
69.0,68.5,66.0,0
69.0,68.5,66.0,0
69.0,68.5,65.5,0
69.0,68.5,65.0,0
69.0,68.5,65.0,0
69.0,68.5,64.0,0
69.0,68.5,64.0,0
69.0,67.0,64.0,0
69.0,66.0,73.0,1
69.0,66.0,72.0,1
69.0,66.0,71.7,1
69.0,66.0,71.5,1
69.0,66.0,65.5,0
69.0,66.0,65.0,0
69.0,66.0,62.7,0
69.0,66.0,62.5,0
69.0,66.0,71.2,1
69.0,66.0,71.0,1
69.0,66.0,70.0,1
69.0,66.7,75.0,1
69.0,66.7,74.0,1
69.0,66.7,72.0,1
69.0,66.7,68.5,1
69.0,66.0,70.0,1
69.0,66.0,68.5,1
69.0,66.0,68.0,1
69.0,66.0,65.0,0
69.0,66.0,63.0,0
69.0,66.0,62.5,0
69.0,66.5,73.0,1
69.0,66.5,71.0,1
69.0,66.5,70.5,1
69.0,66.5,70.5,1
69.0,66.5,67.0,1
69.0,66.5,66.0,1
69.0,66.5,61.0,0
69.5,66.5,70.5,1
69.5,66.5,67.5,1
69.5,66.5,64.5,0
69.5,66.5,64.0,0
69.0,66.5,71.0,1
69.0,66.5,68.5,0
69.0,66.5,67.5,0
69.0,66.5,66.0,0
69.0,66.5,63.0,0
69.0,66.5,63.0,0
69.5,66.0,71.0,1
69.5,66.0,71.0,1
69.5,66.0,70.5,1
69.5,66.0,70.5,1
69.5,66.0,66.5,0
69.5,66.0,65.5,0
69.5,66.0,64.5,0
69.0,66.0,73.0,1
69.0,66.0,72.0,1
69.0,66.0,69.0,1
69.0,66.0,69.0,1
69.0,66.0,66.5,0
69.0,66.0,65.5,0
69.0,66.0,65.5,0
69.0,66.0,65.0,0
69.0,66.0,64.0,0
69.0,65.0,70.0,1
69.0,65.0,68.5,1
69.0,65.0,67.0,1
69.0,65.0,65.0,0
69.0,65.0,64.0,0
69.0,65.0,63.5,0
69.0,65.0,61.0,0
69.5,64.5,69.7,1
69.5,64.5,68.0,1
69.5,64.5,60.0,1
69.5,64.5,65.2,0
69.5,64.5,64.5,0
69.5,64.5,63.7,0
69.5,64.5,60.0,0
69.2,64.0,71.7,1
69.2,64.0,66.5,1
69.2,64.0,65.0,0
69.2,64.0,63.5,0
69.0,63.5,65.5,0
69.0,63.0,69.0,1
69.0,63.0,67.5,0
69.0,63.0,63.5,0
69.0,63.0,72.0,1
69.0,63.0,73.0,1
69.0,63.0,70.0,1
69.0,63.0,70.0,1
69.0,63.0,64.0,1
69.0,63.0,66.0,0
69.0,63.0,62.0,0
69.0,63.5,70.5,1
69.0,63.5,67.0,1
69.0,63.5,66.0,1
69.0,63.5,65.0,0
69.0,63.5,63.0,0
69.0,63.5,62.0,0
69.0,63.5,61.0,0
69.0,63.5,70.5,1
69.0,63.5,63.7,0
69.0,63.5,63.0,0
69.7,62.0,62.5,0
69.5,62.0,73.0,1
69.5,62.0,72.0,1
69.5,62.0,69.0,1
69.0,62.0,73.0,1
69.0,62.0,71.0,1
69.0,62.0,71.0,1
69.0,62.0,69.0,1
69.0,62.0,63.0,0
69.5,62.0,72.0,1
69.5,62.0,70.0,1
69.5,62.0,67.8,1
69.5,62.0,65.2,0
69.5,62.0,64.7,0
69.5,62.0,64.5,0
69.5,62.0,63.5,0
69.5,62.0,63.5,0
69.5,62.0,62.5,0
69.5,62.0,62.0,0
69.5,62.0,61.5,0
69.0,62.5,71.0,1
69.0,62.5,70.0,1
69.0,62.5,70.0,1
69.0,62.5,69.0,1
69.0,62.5,63.5,0
69.0,62.5,62.5,0
69.0,62.5,62.5,0
69.0,62.5,62.0,0
69.0,62.0,72.0,1
69.0,62.0,68.0,1
69.0,62.0,66.0,0
69.0,62.0,66.0,0
69.5,61.0,70.0,1
69.5,61.0,69.5,1
69.5,61.0,69.0,1
69.5,61.0,63.0,0
69.5,61.0,62.0,0
69.0,61.0,68.0,1
69.0,61.0,68.0,1
69.0,61.0,67.5,1
69.0,61.0,64.0,1
69.0,61.0,63.0,1
69.0,61.0,63.0,1
69.0,61.0,63.5,0
69.0,61.0,62.0,0
69.0,61.0,62.0,0
69.0,60.0,70.5,1
69.0,60.0,68.0,0
69.0,60.0,62.5,0
69.0,60.0,69.0,1
69.0,60.0,66.0,1
69.0,60.0,61.7,0
69.0,60.0,60.5,0
69.0,60.5,69.5,1
68.7,70.5,71.0,1
68.7,70.5,61.7,0
68.5,67.0,73.0,1
68.5,67.0,71.0,1
68.5,67.0,67.0,0
68.5,66.5,70.0,1
68.5,66.5,69.0,1
68.5,66.5,69.0,1
68.5,66.5,68.7,1
68.5,66.5,68.5,1
68.5,66.5,68.5,1
68.5,66.5,68.0,1
68.5,66.5,68.0,1
68.5,66.5,68.0,1
68.5,66.5,66.2,1
68.5,66.5,63.2,0
68.0,65.0,67.5,1
68.0,65.0,66.0,1
68.0,65.5,66.0,1
68.0,65.5,64.0,0
68.0,65.5,71.7,1
68.0,65.5,71.5,1
68.0,65.5,70.7,1
68.0,65.5,65.5,1
68.0,65.5,66.5,0
68.0,65.5,65.2,0
68.0,65.5,61.5,0
68.0,65.0,72.0,1
68.0,65.0,72.0,1
68.0,65.0,68.0,0
68.0,65.0,66.0,0
68.5,65.0,69.2,1
68.5,65.0,68.0,1
68.5,65.0,66.0,1
68.5,65.0,66.0,1
68.5,65.0,62.0,0
68.5,65.0,61.5,0
68.5,65.0,61.0,0
68.5,65.0,60.0,0
68.5,65.0,72.0,1
68.5,65.0,70.5,1
68.5,65.0,68.7,1
68.5,65.0,68.5,1
68.5,65.0,67.7,1
68.5,65.0,64.0,0
68.5,65.0,63.5,0
68.5,65.0,63.0,0
68.0,64.0,71.0,1
68.0,64.0,68.0,1
68.0,64.0,68.0,1
68.0,64.0,67.0,1
68.0,64.0,65.0,0
68.0,64.0,64.0,0
68.0,64.0,63.0,0
68.0,64.0,63.0,0
68.0,64.0,62.0,0
68.0,64.0,61.0,0
68.0,64.0,66.0,1
68.0,64.0,63.0,1
68.0,64.0,65.5,0
68.0,64.0,62.0,0
68.0,64.0,71.2,1
68.0,64.0,71.2,1
68.0,64.0,69.0,1
68.0,64.0,68.5,1
68.0,64.0,62.5,0
68.0,64.5,62.0,0
68.0,64.0,69.0,1
68.0,64.0,67.0,1
68.0,64.0,66.0,1
68.0,64.0,66.0,0
68.0,64.0,66.0,0
68.0,64.0,65.0,0
68.0,64.0,65.0,0
68.0,64.0,65.0,0
68.0,64.0,64.0,0
68.0,64.0,63.0,0
68.0,63.0,70.5,1
68.0,63.0,70.0,1
68.0,63.0,68.0,1
68.0,63.0,66.0,1
68.0,63.0,66.0,1
68.0,63.0,66.0,0
68.0,63.0,62.0,0
68.0,63.0,61.5,0
68.5,63.5,73.5,1
68.5,63.5,70.0,1
68.5,63.5,69.5,1
68.5,63.5,65.5,0
68.0,63.0,67.0,1
68.0,63.0,70.0,1
68.0,63.0,68.0,1
68.0,63.0,64.5,0
68.0,63.0,64.0,0
68.0,63.0,71.0,1
68.0,63.0,68.0,1
68.0,63.0,66.0,1
68.0,63.0,65.5,1
68.0,63.0,65.0,1
68.0,63.0,63.0,0
68.0,63.0,62.0,0
68.0,63.0,62.0,0
68.0,63.0,67.0,1
68.0,63.0,67.0,1
68.0,63.0,66.0,1
68.0,63.0,64.0,0
68.0,63.0,63.5,0
68.0,63.0,61.0,0
68.5,63.5,68.2,1
68.0,63.0,70.0,1
68.2,63.5,70.0,1
68.2,63.5,69.0,1
68.2,63.5,67.0,1
68.2,63.5,65.5,1
68.2,63.5,64.5,0
68.0,62.5,68.5,1
68.7,62.0,67.7,1
68.7,62.0,61.7,0
68.0,62.5,66.5,1
68.0,61.0,68.5,1
68.0,61.0,68.0,1
68.0,61.0,64.0,1
68.0,61.0,63.5,0
68.0,61.0,63.0,0
68.0,60.2,66.7,1
68.0,60.0,64.0,1
68.0,60.0,61.0,0
68.0,60.0,61.0,0
68.0,60.0,60.0,0
68.0,60.0,60.0,0
68.0,60.0,60.0,0
68.0,60.0,56.0,0
68.0,60.0,67.5,1
68.0,60.0,67.0,1
68.0,60.0,66.5,1
68.0,60.0,60.0,0
68.5,59.0,69.0,1
68.0,59.0,68.0,1
68.0,59.0,65.0,1
68.0,59.0,64.7,1
68.0,59.0,64.0,1
68.0,59.0,64.0,1
68.0,59.0,63.0,1
68.0,59.0,65.0,0
68.0,59.0,65.0,0
68.0,59.0,62.0,0
68.0,59.0,61.0,0
67.0,66.2,72.7,1
67.0,66.2,72.7,1
67.0,66.2,71.5,1
67.0,66.2,65.5,0
67.0,66.2,63.5,0
67.0,66.5,71.0,1
67.0,66.0,73.0,1
67.0,66.0,71.0,1
67.0,66.0,70.7,1
67.0,66.0,70.0,1
67.0,66.0,69.0,1
67.0,66.0,68.0,0
67.0,66.0,65.5,0
67.0,66.0,62.0,0
67.0,65.0,69.7,1
67.0,65.0,67.5,1
67.0,65.0,65.5,0
67.0,65.0,65.0,0
67.0,65.0,64.5,0
67.0,65.0,63.5,0
67.0,65.5,70.0,1
67.0,65.5,69.0,1
67.0,65.5,65.5,0
67.0,65.5,65.5,0
67.0,65.5,63.0,0
67.0,65.5,70.0,1
67.0,65.5,67.7,1
67.0,65.5,63.0,0
67.0,65.5,60.0,0
67.0,65.0,65.0,1
67.0,65.0,62.0,0
67.0,65.0,62.0,0
67.5,65.0,71.0,1
67.5,65.0,69.0,1
67.5,65.0,64.0,0
67.5,65.0,64.0,0
67.5,65.0,63.0,0
67.5,65.0,63.0,0
67.5,65.0,63.0,0
67.5,65.0,63.0,0
67.5,65.0,63.0,0
67.5,65.0,62.5,0
67.5,65.0,62.0,0
67.0,64.0,71.5,1
67.0,64.0,70.0,1
67.0,64.0,67.0,1
67.0,64.0,67.0,1
67.0,63.5,71.0,1
67.0,63.5,70.2,1
67.0,63.5,69.2,1
67.0,63.5,68.5,1
67.0,63.5,68.0,1
67.0,63.5,67.0,1
67.0,63.5,65.5,1
67.0,63.5,63.5,0
67.0,63.0,69.0,1
67.0,63.0,68.0,1
67.0,63.0,63.0,0
67.5,62.0,70.0,1
67.5,62.0,69.5,1
67.5,62.0,69.0,1
67.5,62.0,68.5,1
67.5,62.0,66.0,0
67.0,61.0,67.0,1
66.0,67.0,70.5,1
66.0,67.0,70.5,1
66.0,67.0,67.0,1
66.0,67.0,66.0,1
66.0,67.0,66.0,1
66.0,67.0,62.0,0
66.0,67.0,62.0,0
66.0,67.0,61.5,0
66.0,67.0,72.0,1
66.0,67.0,65.0,1
66.0,67.0,65.0,1
66.0,67.0,67.0,0
66.0,67.0,64.0,0
66.0,67.0,64.0,0
66.0,67.0,62.0,0
66.0,67.0,60.0,0
66.0,67.0,60.0,0
66.0,66.0,66.0,1
66.0,66.0,65.0,1
66.0,66.0,67.0,0
66.0,66.0,66.5,0
66.0,66.0,65.5,0
66.0,66.0,72.0,1
66.0,66.0,68.0,1
66.0,66.0,66.0,0
66.0,66.0,65.0,0
66.0,66.0,62.0,0
66.0,66.0,61.0,0
66.5,65.0,68.7,1
66.5,65.0,68.5,1
66.5,65.0,66.5,1
66.5,65.0,64.5,1
66.5,65.0,62.5,0
66.5,65.0,60.5,0
66.5,65.0,60.5,0
66.5,65.0,57.5,0
66.0,65.5,72.0,1
66.0,65.5,71.0,1
66.0,65.5,67.0,1
66.0,65.5,66.0,0
66.0,65.5,65.0,0
66.0,63.0,70.0,1
66.0,63.5,64.5,0
66.0,63.5,62.0,0
66.5,63.0,67.2,1
66.5,63.0,67.0,1
66.5,63.0,65.0,1
66.5,63.0,65.0,0
66.5,63.0,65.0,0
66.5,63.0,63.0,0
66.5,62.5,70.0,1
66.5,62.5,68.0,1
66.5,62.5,63.5,0
66.5,62.5,62.5,0
66.5,62.5,62.5,0
66.5,62.5,62.5,0
66.5,62.5,62.5,0
66.0,61.5,70.0,1
66.0,60.0,68.0,1
66.0,60.0,67.0,1
66.0,60.0,65.0,1
66.0,60.0,60.0,0
66.0,60.0,65.0,1
66.0,59.0,68.0,1
66.0,59.0,67.0,1
66.0,59.0,66.5,1
66.0,59.0,66.0,1
66.0,59.0,65.7,1
66.0,59.0,65.5,1
66.0,59.0,65.0,1
66.0,59.0,65.0,0
66.0,59.0,64.0,0
66.0,59.0,63.0,0
66.0,59.0,62.0,0
66.0,59.0,61.0,0
66.0,59.0,60.0,0
66.0,59.0,58.0,0
66.0,59.0,57.0,0
65.0,67.0,66.5,1
65.0,67.0,66.0,1
65.0,67.0,66.0,1
65.0,67.0,65.0,0
65.0,67.0,63.0,0
65.0,66.0,63.0,1
65.0,66.0,63.0,0
65.0,66.0,63.0,0
65.0,66.0,60.0,0
65.0,66.0,67.0,1
65.0,66.0,66.0,1
65.0,66.0,65.0,1
65.0,66.0,65.0,0
65.0,66.0,61.0,0
65.0,65.0,69.0,1
65.0,65.0,68.0,1
65.0,65.0,68.0,1
65.0,65.0,65.0,0
65.0,65.0,65.0,0
65.0,65.0,62.0,0
65.0,65.0,62.0,0
65.0,65.0,61.0,0
65.0,65.0,59.0,0
65.0,65.5,70.7,1
65.0,65.5,65.5,0
65.0,65.0,69.2,1
65.0,65.0,69.0,1
65.0,65.0,68.0,1
65.0,65.0,67.7,1
65.0,65.0,64.5,0
65.0,65.0,60.5,0
65.0,64.0,67.0,1
65.0,64.0,67.0,1
65.0,64.0,64.0,0
65.0,64.0,64.0,0
65.0,64.0,62.5,0
65.0,64.0,60.5,0
65.0,63.0,70.0,1
65.0,63.0,63.0,0
65.0,63.0,66.0,1
65.0,63.0,66.0,1
65.0,63.0,63.0,0
65.5,63.0,71.0,1
65.5,63.0,71.0,1
65.5,63.0,69.0,1
65.5,63.0,63.5,0
65.5,60.0,68.0,1
65.5,60.0,68.0,1
65.5,60.0,67.0,1
65.5,60.0,67.0,1
65.5,60.0,62.0,0
64.0,64.0,71.5,1
64.0,64.0,68.0,1
64.0,64.0,65.5,0
64.0,64.0,64.0,0
64.0,64.0,62.0,0
64.0,64.0,62.0,0
64.0,64.0,61.0,0
64.0,64.0,70.5,1
64.0,64.0,68.0,1
64.0,64.0,67.0,0
64.0,64.0,65.0,0
64.0,64.0,64.0,0
64.0,64.0,64.0,0
64.0,64.0,60.0,0
64.0,63.0,64.5,1
64.0,60.0,66.0,1
64.0,60.0,60.0,0
63.0,63.5,68.5,0
63.0,63.5,63.5,0
62.0,66.0,64.0,1
62.0,66.0,62.0,0
62.0,66.0,61.0,0
62.5,63.0,66.5,1
62.5,63.0,57.0,0
